title,summary,link,score,sentiment
Chris Mason: Dissent fizzes again at the top of the Labour Party,The resignations of the defence secretary and armed forces minister pile the pressure further on the PM's leadership.,https://www.bbc.com/news/articles/cx26njd8v4mo?at_medium=RSS&at_campaign=rss,0.5423,positive
Elon Musk's SpaceX raises $75bn ahead of world's biggest stock market launch,The public sale is also expected to make Elon Musk the world's first trillionaire.,https://www.bbc.com/news/articles/cwy034q89j4o?at_medium=RSS&at_campaign=rss,0.0,neutral
Why the economics make this the craziest World Cup ever,"From trade wars to soaring ticket prices, the 2026 World Cup is unlike any before it. Faisal Islam explores what this tournament reveals about our changing global economy.",https://www.bbc.com/news/articles/cpv32417nlwo?at_medium=RSS&at_campaign=rss,-0.0516,negative
Trump claims deal to end Iran war near as Tehran says 'nothing' finalised,"The US president says a ""great settlement"" to end the conflict has been reached. Iran says reports of a deal are ""speculative"".",https://www.bbc.com/news/articles/c78y6w78828o?at_medium=RSS&at_campaign=rss,-0.5994,negative
"Grooming survivors prosecuted as children still being failed, Baroness Casey tells BBC","Victims who were abused and prosecuted as children are still being failed, says grooming report author.",https://www.bbc.com/news/articles/cly7jjq8nr1o?at_medium=RSS&at_campaign=rss,-0.7096,negative
UK economy shrank by 0.1% in April,The contraction comes after the economy saw stronger than expected growth in March.,https://www.bbc.com/news/articles/c77y47248k4o?at_medium=RSS&at_campaign=rss,0.0,neutral
Meningitis B vaccine to be offered to a million young people,The decision for the one-off vaccine programme follows the unprecedented outbreak in Kent this year.,https://www.bbc.com/news/articles/c982352my98o?at_medium=RSS&at_campaign=rss,0.0,neutral
'I spent uni savings on getting my teeth fixed' - how NHS dentist shortage is costing a fortune,People tell BBC Your Voice the rising cost of private dentistry is putting them in a difficult position.,https://www.bbc.com/news/articles/czrx7pvx57eo?at_medium=RSS&at_campaign=rss,-0.25,negative
"Do not use my music, Ariana Grande tells White House","Grande called a White House video using her song Bye ""heinous nonsense"", joining multiple artists demanding Trump's team not use their music.",https://www.bbc.com/news/articles/c9328k7j2n4o?at_medium=RSS&at_campaign=rss,0.0,neutral
Flip flop or deliberate? - Unpacking Trump’s strategy on Iran,The BBC's Gary O'Donoghue looks at the US president's mixed messaging over the war and the questions it raises.,https://www.bbc.com/news/videos/cz9lg5ywzvpo?at_medium=RSS&at_campaign=rss,-0.34,negative
Thai Princess Bajrakitiyabha dies after more than three years in coma,"Princess Bajrakitiyabha, the king's eldest daughter, collapsed in December 2022 while exercising her dogs.",https://www.bbc.com/news/articles/cvgzzndx780o?at_medium=RSS&at_campaign=rss,0.0,neutral
'There's a World Cup happening?' Are Americans excited about tournament?,"With the World Cup under way, how excited are people across the United States - and do they even know it's on?",https://www.bbc.com/sport/football/articles/cg74rzx582ko?at_medium=RSS&at_campaign=rss,0.4137,positive
From near death to tournament hero - Jimenez's tears for Mexico,From nearly dying on the pitch to scoring for Mexico at the World Cup - Raul Jimenez has completed a remarkable comeback.,https://www.bbc.com/sport/football/articles/cm2dl67rljvo?at_medium=RSS&at_campaign=rss,-0.296,negative
"The World Cup of adverts: How brands are competing to entertain, not simply sell","Kim Kardashian, Timothée Chalamet and Susan Boyle feature in ambitious ads ahead of the World Cup.",https://www.bbc.com/news/articles/c992v43m71do?at_medium=RSS&at_campaign=rss,0.3182,positive
"World Cup kicks off in Mexico with Shakira, dancing, and protests","There was a star-studded opening ceremony, and some sporadic clashes between police and protesters around the Azteca stadium.",https://www.bbc.com/news/articles/c2ly928xz8go?at_medium=RSS&at_campaign=rss,-0.2263,negative
'I've never been this good' – revolutionary immune reset puts lupus in remission,Patients on the trial have not needed medication to manage their condition.,https://www.bbc.com/news/articles/c4gy2d9y5z3o?at_medium=RSS&at_campaign=rss,0.6783,positive
Weekly quiz: Which Sesame Street character got in trouble with New Yorkers?,How much attention did you pay to what happened in the world over the past seven days?,https://www.bbc.com/news/articles/cwyexxd3378o?at_medium=RSS&at_campaign=rss,-0.4019,negative
Air India crash families' year-long battle to identify remains of victims,"Relatives urge Indian authorities for answers after receiving the misidentified, and in one case mixed, remains of their loved ones.",https://www.bbc.com/news/articles/c15y9g2ndkno?at_medium=RSS&at_campaign=rss,-0.765,negative
'They destroyed the future': Palestinian anger at rise in Israeli demolitions in East Jerusalem,Palestinian homes are being pulled down in occupied East Jerusalem to make way for a park.,https://www.bbc.com/news/articles/cewpwjr9rj4o?at_medium=RSS&at_campaign=rss,-0.7845,negative
The Papers: 'Healey torpedoes Starmer' and 'Game on!',Defence Secretary John Healey's resignation and the start of the World Cup dominate Friday's papers.,https://www.bbc.com/news/articles/cy069x2x7w0o?at_medium=RSS&at_campaign=rss,0.0,neutral
"More than 50 Iranian military bases damaged in US strikes since start of war, satellite images show","Bases across Iran have been hit by US strikes, with experts identifying damage to jets and warships.",https://www.bbc.com/news/articles/cd6p6z7pq9wo?at_medium=RSS&at_campaign=rss,-0.8519,negative
"My friends always want to split the bill equally, how do I say no?","It is never easy to speak up when a fellow diner says ""let's just divide it!""",https://www.bbc.com/news/articles/czxqdznzy7ro?at_medium=RSS&at_campaign=rss,0.296,positive
Northern Ireland protests pass off without incident after two nights of unrest,"After two nights of unrest, pockets of protests held across Northern Ireland have passed off without major incident.",https://www.bbc.com/news/articles/c4gyl9v02y5o?at_medium=RSS&at_campaign=rss,-0.2263,negative
"Girl, 14, charged with attempted murder after Manchester school knife attack","Two pupils and a teacher were injured in the attack, which counter-terror police are investigating.",https://www.bbc.com/news/articles/cp3x1qzkj81o?at_medium=RSS&at_campaign=rss,-0.8625,negative
Ex-UK political aide Steve Hilton pledges 'common sense' overhaul if elected California governor,The Trump-backed candidate is running as a Republican in the deeply liberal state on a platform that he says isn't beholden to party ideology.,https://www.bbc.com/news/articles/cd95x25e2nqo?at_medium=RSS&at_campaign=rss,0.0,neutral
"El Niño under way and threatens weather extremes, scientists say","An El Niño event has officially started, say US scientists, raising fears of extreme weather and higher temperatures.",https://www.bbc.com/news/articles/c75ylx7g00xo?at_medium=RSS&at_campaign=rss,-0.3818,negative
London Stadium and West Ham women's team not aware of David Sullivan contact ban,The owner of West Ham United's home has raised concerns it was not told about safeguarding restrictions.,https://www.bbc.com/news/articles/c862wpn8e4xo?at_medium=RSS&at_campaign=rss,-0.5574,negative
"Dozens of children put at risk after gender care failures at GP clinic, inquiry finds",A safety inquiry into the WellBN clinic in Brighton found 78 children were potentially harmed after being given gender medication without proper checks.,https://www.bbc.com/news/articles/c932y3q09qro?at_medium=RSS&at_campaign=rss,-0.2263,negative
Jailed South Korea ex-president gets 30 more years for sending drones into North,Prosecutors argued that Yoon ordered the operation to provoke Pyongyang and create a pretext for martial law.,https://www.bbc.com/news/articles/c17ydny8zyro?at_medium=RSS&at_campaign=rss,-0.4939,negative
BBC News app,"Top stories, breaking news, live reporting, and follow news topics that match your interests",https://www.bbc.co.uk/news/10628994?at_medium=RSS&at_campaign=rss,0.0,neutral
Why Has Defence Secretary John Healey Resigned?,Defence Secretary John Healey resigns in latest blow to Starmer.,https://www.bbc.co.uk/sounds/play/p0nq8m70?at_medium=RSS&at_campaign=rss,-0.1531,negative
The Democrats fight back Trump-style in Maine… but have they messed up?,New scandals and allegations emerge against Democrat Graham Platner in Maine,https://www.bbc.co.uk/sounds/play/p0nr9b6z?at_medium=RSS&at_campaign=rss,-0.5994,negative
Kevin Bridges asks if football still has beauty at its heart,Kevin Bridges embarks on a journey to understand whether the beautiful game still exists.,https://www.bbc.co.uk/iplayer/episode/m002xb10?at_mid=hhSWQQLCvb&at_campaign=Kevin_Bridges_In_Search_of_the_Beautiful_Game&at_medium=display_ad&at_campaign_type=owned&at_nation=SCT&at_audience_id=SS&at_product=iplayer&at_brand=m002xb10&at_ptr_name=bbc&at_ptr_type=media&at_format=image&at_objective=consumption&at_link_title=Kevin_Bridges_In_Search_of_the_Beautiful_Game&at_bbc_team=BBC,0.5859,positive
'There's a World Cup happening?' Are Americans excited about tournament?,"With the World Cup under way, how excited are people across the United States - and do they even know it's on?",https://www.bbc.com/sport/football/articles/cg74rzx582ko?at_medium=RSS&at_campaign=rss,0.4137,positive
